city, label
Andalucía, 5
Ansermanuevo, 1
Argelia, 0
Bolívar, 3
Buenaventura, 1
Guadalajara de Buga, 1
Bugalagrande, 4
Caicedonia, 1
Calima, 5
Candelaria, 1
Cartago, 1
Dagua, 5
El Águila, 0
El Cairo, 0
El Cerrito, 1
El Dovio, 4
Florida, 1
Ginebra, 5
Guacarí, 1
Jamundí, 5
La Cumbre, 3
La Unión, 1
La Victoria, 4
Obando, 5
Palmira, 1
Pradera, 1
Restrepo, 5
Riofrío, 4
Roldanillo, 5
San Pedro, 5
Sevilla, 1
Toro, 5
Trujillo, 5
Tuluá, 1
Ulloa, 0
Versalles, 0
Vijes, 4
Yotoco, 5
Yumbo, 4
Zarzal, 1
Arauca, 5
Arauquita, 1
Cravo Norte, 2
Fortul, 5
Puerto Rondón, 3
Saravena, 5
Tame, 0
Yopal, 1
Aguazul, 5
Chameza, 3
Hato Corozal, 3
La Salina, 2
Maní, 3
Monterrey, 4
Nunchía, 3
Orocué, 3
Paz de Ariporo, 4
Pore, 3
Recetor, 3
Sabanalarga, 3
Sácama, 2
San Luis de Palenque, 3
Támara, 0
Tauramena, 4
Trinidad, 4
Villanueva, 5
Mocoa, 1
Colón, 3
Orito, 5
Puerto Asís, 1
Puerto Caicedo, 4
Puerto Guzmán, 4
Leguízamo, 5
Sibundoy, 5
San Francisco, 0
San Miguel, 5
Santiago, 0
Valle del Guamuez, 1
Villagarzón, 5
San Andrés, 1
Providencia, 2
Leticia, 4
El Encanto (ANM), 2
La Chorrera (ANM), 2
La Pedrera (ANM), 2
Miriti - Paraná (ANM), 2
Puerto Alegría (ANM), 2
Puerto Arica (ANM), 2
Puerto Nariño, 3
Puerto Santander (ANM), 2
Tarapacá (ANM), 2
Inírida, 0
Barranco Minas (ANM), 2
Mapiripana (ANM), 2
San Felipe (ANM), 2
Puerto Colombia (ANM), 2
La Guadalupe (ANM), 2
Cacahual (ANM), 2
Pana Pana (ANM), 2
Morichal (ANM), 2
San José del Guaviare, 1
Calamar, 4
El Retorno, 1
Miraflores, 0
Mitú, 4
Caruru, 2
Pacoa (ANM), 2
Taraira, 2
Papunaua (ANM), 2
Yavaraté (ANM), 2
Puerto Carreño, 3
La Primavera, 0
Santa Rosalía, 3
Cumaribo, 5
